
2025/03/06 (22:06:10) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:06:16) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:06:22) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:06:28) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:06:34) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:06:40) | ERROR: Stall in Runner thread, restarting!

2025/03/12 (16:03:22) | ===> btop++ v.1.4.0
2025/03/12 (16:03:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/12 (16:03:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (10:44:49) | ===> btop++ v.1.4.0
2025/03/25 (10:44:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (10:44:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (13:16:55) | ===> btop++ v.1.4.0
2025/03/25 (13:16:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (13:16:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/31 (11:09:17) | ===> btop++ v.1.4.0
2025/03/31 (11:09:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/31 (11:09:17) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/07 (17:23:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/07 (17:23:28) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/07 (17:23:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/07 (17:23:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/07 (17:23:28) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/04/07 (17:24:56) | ===> btop++ v.1.4.0
2025/04/07 (17:24:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/07 (17:24:56) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/07 (17:32:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/07 (17:32:42) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/07 (17:32:42) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/07 (17:32:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/07 (17:32:42) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/04/08 (09:50:24) | ===> btop++ v.1.4.0
2025/04/08 (09:50:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/08 (09:50:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/16 (12:48:33) | ===> btop++ v.1.4.0
2025/04/16 (12:48:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/16 (12:48:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/22 (14:34:07) | ===> btop++ v.1.4.0
2025/04/22 (14:34:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/22 (14:34:07) | WARNING: ROCm SMI: Failed to get PCIe throughput
